id,title,timeSlot,duration,timeFrame,type,color,dayNumber,date
volunteer-setup,Volunteer arrival setup briefings,7:00 – 7:30 AM,30 mins,7am,setup,#D9D9D9,1,October 4 2025
hospitality-prep,Hospitality prep sound/light checks rehearsal,7:30 – 8:00 AM,30 mins,7am,setup,#D9D9D9,1,October 4 2025
guest-arrivals,Guest arrivals networking music soft ushering,8:00 – 8:10 AM,10 mins,8am,registration,#D9D9D9,1,October 4 2025
masterclass,Masterclass: Tosin Olaseinde,8:10 – 8:50 AM,40 mins,8am,masterclass,#0076B2,1,October 4 2025
registration,Registration push-in + settling,8:50 – 9:00 AM,10 mins,8am,registration,#D9D9D9,1,October 4 2025
opening-prayer,Opening Prayer,9:00 – 9:03 AM,3 mins,9am,ceremony,#E1EF8B,1,October 4 2025
national-anthem,National Anthem (Violin Performance),9:03 – 9:08 AM,5 mins,9am,performance,#E1EF8B,1,October 4 2025
icebreaker,Icebreaker: "The Code Cluster Challenge",9:08 – 9:23 AM,15 mins,9am,interactive,#52525B,1,October 4 2025
mc-opening,Opening Address by MC,9:23 – 9:28 AM,5 mins,9am,address,#D9D9D9,1,October 4 2025
convener-intro,Convener's Introduction (Video + Live),9:28 – 9:33 AM,5 mins,9am,introduction,#D9D9D9,1,October 4 2025
convener-speech,Convener's Speech: "Why We're Here",9:33 – 9:45 AM,12 mins,9am,speech,#0076B2,1,October 4 2025
mc-transition-1,MC transition + housekeeping,9:45 – 9:48 AM,3 mins,9am,transition,#D9D9D9,1,October 4 2025
speaker-intro-1,Introduction: Keynote 1,9:48 – 9:51 AM,3 mins,9am,introduction,#D9D9D9,1,October 4 2025
keynote-1,Keynote 1: Tunde Onakoya,9:51 – 10:11 AM,20 mins,10am,keynote,#0076B2,1,October 4 2025
mc-remarks-1,MC remarks + Award 1,10:11 – 10:14 AM,3 mins,10am,transition,#D9D9D9,1,October 4 2025
speaker-intro-2,Introduction: Keynote 2,10:14 – 10:17 AM,3 mins,10am,introduction,#D9D9D9,1,October 4 2025
keynote-2,Keynote 2: Jesudamilare Adesegun-David,10:17 – 10:37 AM,20 mins,10am,keynote,#0076B2,1,October 4 2025
mc-remarks-2,MC remarks + Award 2,10:37 – 10:40 AM,3 mins,10am,transition,#D9D9D9,1,October 4 2025
speaker-intro-3,Introduction: Keynote 3,10:40 – 10:43 AM,3 mins,10am,introduction,#D9D9D9,1,October 4 2025
keynote-3,Keynote 3: Aishah Ahmad,10:43 – 11:03 AM,20 mins,11am,keynote,#0076B2,1,October 4 2025
mc-remarks-3,MC remarks + Award 3,11:03 – 11:06 AM,3 mins,11am,transition,#D9D9D9,1,October 4 2025
spoken-word,Spoken Word + Live Drawing Artist,11:06 – 11:21 AM,15 mins,11am,performance,#E1EF8B,1,October 4 2025
sponsor-spotlight-1,Sponsor Spotlight 1,11:21 – 11:26 AM,5 mins,11am,sponsor,#D9D9D9,1,October 4 2025
fashion-show,Mini Fashion Show: "Dress the Part",11:26 – 11:36 AM,10 mins,11am,fashion,#E1EF8B,1,October 4 2025
mc-remarks-4,MC remarks + Award 4 (fashion showcase),11:36 – 11:39 AM,3 mins,11am,transition,#D9D9D9,1,October 4 2025
panel-intro-1,Panel 1 Introduction,11:39 – 11:42 AM,3 mins,11am,introduction,#D9D9D9,1,October 4 2025
panel-1,Panel 1: Building Businesses That Thrive (Favour Ogazi Oche Writes Fabian George Olubori Paul Emman Nduka),11:42 AM – 12:22 PM,40 mins,12pm,session,#52525B,1,October 4 2025
mc-remarks-5,MC remarks + Award 5,12:22 – 12:25 PM,3 mins,12pm,transition,#D9D9D9,1,October 4 2025
speaker-intro-4,Introduction: Keynote 4,12:25 – 12:28 PM,3 mins,12pm,introduction,#D9D9D9,1,October 4 2025
keynote-4,Keynote 4: Samuel Ajiboyede,12:28 – 12:48 PM,20 mins,12pm,keynote,#0076B2,1,October 4 2025
mc-remarks-6,MC remarks + Award 6,12:48 – 12:51 PM,3 mins,12pm,transition,#D9D9D9,1,October 4 2025
speaker-intro-5,Introduction: Keynote 5,12:51 – 12:54 PM,3 mins,12pm,introduction,#D9D9D9,1,October 4 2025
keynote-5,Keynote 5: Tonye Cole,12:54 – 1:14 PM,20 mins,1pm,keynote,#0076B2,1,October 4 2025
mc-remarks-7,MC remarks + Award 7,1:14 – 1:17 PM,3 mins,1pm,transition,#D9D9D9,1,October 4 2025
sponsor-spotlight-2,Sponsor Spotlight 2 + Laptop Giveaway 1,1:17 – 1:25 PM,8 mins,1pm,sponsor,#D9D9D9,1,October 4 2025
networking-pulse,Interactive Networking Pulse (quick fireside Q&A with crowd),1:25 – 1:35 PM,10 mins,1pm,interactive,#52525B,1,October 4 2025
networking-break,Refreshments LinkedIn Wall of Fame Headshots Sponsor Booths,1:35 – 2:00 PM,25 mins,1pm,break,#D9D9D9,1,October 4 2025
violin-performance,Violinist Performance + Sponsor Spotlight 3,2:00 – 2:10 PM,10 mins,2pm,performance,#E1EF8B,1,October 4 2025
mc-transition-2,MC transition + intro,2:10 – 2:13 PM,3 mins,2pm,transition,#D9D9D9,1,October 4 2025
speaker-intro-6,Introduction: Keynote 6,2:13 – 2:16 PM,3 mins,2pm,introduction,#D9D9D9,1,October 4 2025
keynote-6,Keynote 6: Moji Hunponu-Wusu,2:16 – 2:36 PM,20 mins,2pm,keynote,#0076B2,1,October 4 2025
mc-remarks-8,MC remarks + Award 8,2:36 – 2:39 PM,3 mins,2pm,transition,#D9D9D9,1,October 4 2025
fireside-intro,Fireside Chat Introduction,2:39 – 2:42 PM,3 mins,2pm,introduction,#D9D9D9,1,October 4 2025
fireside-chat,Media/Creative Fireside Chat: Kemi Adetiba Dr. Foy Ayo Extreme Beauty Tukura,2:42 – 3:22 PM,40 mins,3pm,session,#52525B,1,October 4 2025
mc-remarks-9,MC remarks + Award 9,3:22 – 3:25 PM,3 mins,3pm,transition,#D9D9D9,1,October 4 2025
speaker-intro-7,Introduction: Keynote 7,3:25 – 3:28 PM,3 mins,3pm,introduction,#D9D9D9,1,October 4 2025
keynote-7,Keynote 7: Taiwo Oyedele,3:28 – 3:48 PM,20 mins,3pm,keynote,#0076B2,1,October 4 2025
mc-remarks-10,MC remarks + Award 10,3:48 – 3:51 PM,3 mins,3pm,transition,#D9D9D9,1,October 4 2025
sponsor-spotlight-4,Sponsor Spotlight 4 + Laptop Giveaway 2,3:51 – 3:56 PM,5 mins,3pm,sponsor,#D9D9D9,1,October 4 2025
closing-remarks,Closing Remarks by Convener + Group Photo,3:56 – 4:05 PM,9 mins,4pm,closing,#0076B2,1,October 4 2025
sponsor-spotlight-5,Sponsor Spotlight 5 + Laptop Giveaway 3,4:05 – 4:15 PM,10 mins,4pm,sponsor,#D9D9D9,1,October 4 2025
networking-kickoff,Open Networking Kickoff + Music Lounge,4:15 – 4:30 PM,15 mins,4pm,networking,#E1EF8B,1,October 4 2025
laptop-giveaway-4,Laptop Giveaway 4 (during networking),4:30 – 4:38 PM,8 mins,4pm,giveaway,#E1EF8B,1,October 4 2025
laptop-giveaway-5,Laptop Giveaway 5 (surprise element),4:38 – 4:46 PM,8 mins,4pm,giveaway,#E1EF8B,1,October 4 2025
final-networking,Networking DJ + soft close,4:46 – 5:00 PM,14 mins,5pm,networking,#E1EF8B,1,October 4 2025
